English,Tovian,IPA,Roots
december 21,lhilaglar, / ɬil.ˈagl.ar / ,night + tree
december 22,lan, / lˈan / ,twilight + ???
december 23,lanasyaleth, / lan.asj.ˈal.eθ / ,twilight + food
december 24,lhonrem, / ɬˈonr.em / ,day + flower
december 25,nan, / nˈan / ,star + ???
december 26,shotlodrem, / ʃoƛ.ˈodr.em / ,flowing + flower
december 27,doraklrith, / dor.ˈaklr.iθ / ,blue + breath
december 28,kulumloremlan, / kul.uml.or.ˈeml.an / ,vine + twilight
december 29,ayskesh, / ˈajsk.eʃ / ,moon + fire
december 3,???, / ??? / ,???
december 30,lurith, / lˈur.iθ / ,breath + ???
december 4,???, / ??? / ,???
december 5,lurithan, / lur.ˈiθ.an / ,breath + tool
december 6,shotltom, / ʃˈoƛt.om / ,flowing + root
december 7,meloanathan, / mel.o.an.ˈaθ.an / ,morning + tool
december 8,dolrem, / dˈolr.em / ,death + flower
december 9,lurithaglar, / lur.iθ.ˈagl.ar / ,breath + tree
December,lotush, / lˈot.uʃ / ,one + cold
DEF,i-, / ˈi / ,_
definite marker,i-, / ˈi / ,_
demonstration,led, / lˈed / ,action + showing
denseness,lhul, / ɬˈul / ,_
desert,shil, / ʃˈil / ,sand + place
desire,tenod, / tˈen.od / ,_
desk,foretum, / for.ˈet.um / ,writing + flatness
discovery,sahyeol, / saħj.ˈe.ol / ,make + wisdom
dog,anon, / ˈan.on / ,_
doing,lor, / lˈor / ,_
down,thok, / θˈok / ,_
dream,lhen, / ɬˈen / ,_
dreambringer,anolhyel, / an.ˈoɬj.el / ,dream + COM + walking + person
dusk,munorhan, / mun.ˈorħ.an / ,last + light
dying,dol, / dˈol / ,_
ear,thek, / θˈek / ,_
earth,men, / mˈen / ,_
east,tal, / tˈal / ,_
eating,leth, / lˈeθ / ,_
eight,ath, / ˈaθ / ,_
eleven,miyar, / mˈij.ar / ,_
empty,remi, / rˈem.i / ,_
end,par, / pˈar / ,_
enemy,yey, / jˈej / ,GEN + person + evil
eternal,tod, / tˈod / ,_
evening,munorhan, / mun.ˈorħ.an / ,last + light
evil,yal, / jˈal / ,_
exceeding,ngam, / ŋˈam / ,_
existence,sil, / sˈil / ,_
eye,mril, / mrˈil / ,_
face,tan, / tˈan / ,_
father,pan, / pˈan / ,_
feather,ay, / ˈaj / ,_
February 1,duremen, / dur.ˈem.en / ,flower + stone
February 1,tushulor, / tuʃ.ˈul.or / ,cold + plant
February 10,tushuthan, / tuʃ.ˈuθ.an / ,cold + tool
February 11,thanramen, / θanr.ˈam.en / ,tool + darkness + stone
February 12,numvar, / nˈumv.ar / ,path + value
February 13,mramen, / mrˈam.en / ,darkness + stone
February 14,mrfor, / mrfˈor / ,earth + writing
February 15,shashol, / ʃˈaʃ.ol / ,ice + fruit
February 16,namen, / nˈam.en / ,light + stone
February 17,lhenamen, / ɬen.ˈam.en / ,dream + earth
February 18,yisdeshol, / jisd.ˈeʃ.ol / ,moon + showing + fruit
February 19,nanalhen, / nan.ˈaɬ.en / ,star + dream
February 2,thokmramen, / θokmr.ˈam.en / ,bottom + darkness + stone
February 20,mrathan, / mrˈaθ.an / ,darkness + tool
February 22,siyalethanan, / sij.al.eθ.ˈan.an / ,food + star
February 23,aymen, / ˈajm.en / ,moon + stone
February 24,meloanamen, / mel.o.an.ˈam.en / ,morning + metal
February 25,nanatan, / nan.ˈat.an / ,star + face
February 26,lanamen, / lan.ˈam.en / ,twilight + metal
February 27,mramen, / mrˈam.en / ,darkness + metal
February 28,lan, / lˈan / ,twilight + ???
February 29,tleshmen, / ƛˈeʃm.en / ,speed + metal
February 3,mralingtlun, / mral.ˈiŋƛ.un / ,darkness + tar
February 30,shathan, / ʃˈaθ.an / ,ice + tool
February 4,nanamen, / nan.ˈam.en / ,star + stone
February 5,yisanon, / jis.ˈan.on / ,moon + dog
February 6,lhenashotl, / ɬen.ˈaʃ.oƛ / ,dream + flow
February 7,menlor, / mˈenl.or / ,earth + plant
February 8,mrsyaleth, / mrsjˈal.eθ / ,earth + food
February 9,shalhen, / ʃˈaɬ.en / ,ice + dream
February,femush, / fˈem.uʃ / ,three + cold
fifteen,lhiyam, / ɬˈij.am / ,twelve + three
fighting,gulor, / gˈul.or / ,_
final,par, / pˈar / ,_
finger,tom, / tˈom / ,_
fire,kesh, / kˈeʃ / ,_
first,pul, / pˈul / ,ESS + one
five,rem, / rˈem / ,_
flatness,tum, / tˈum / ,consistency / stability
floor,thok, / θˈok / ,down + foot
flow,shotl, / ʃˈoƛ / ,_
flower,durem, / dˈur.em / ,_
flowing,shotl, / ʃˈoƛ / ,_
flying,lharis, / ɬˈar.is / ,_
fog,tlurith, / ƛˈur.iθ / ,tar + air
food,siyaleth, / sij.ˈal.eθ / ,INS + eating
foot,shot, / ʃˈot / ,_
forest,lethil, / lˈeθ.il / ,tree + place
forever,tod, / tˈod / ,_
forty eight,tev, / tˈev / ,four + twelve
four,tev, / tˈev / ,_
fourteen,lhiyalo, / ɬij.ˈal.o / ,twelve + two
friend,yelalh, / jˈel.aɬ / ,GEN + person + goodness
friendship,yelalh, / jˈel.aɬ / ,GEN + person + goodness
front,heth, / ħˈeθ / ,_
frost,shush, / ʃˈuʃ / ,_
frown,laon, / lˈa.on / ,sad + mouth
fruit,shol, / ʃˈol / ,_
full,remhad, / rˈemħ.ad / ,empty + not
fur,anad, / ˈan.ad / ,_
future,hethe, / ħˈeθ.e / ,front + path
gentleness,lheth, / ɬˈeθ / ,_
god of memory,elakorim, / el.ak.ˈor.im / ,_
going,kith, / kˈiθ / ,_
goodness,lhum, / ɬˈum / ,_
grabbing,lothr, / lˈoθr / ,_
grain,meloresyaleth, / mel.or.esj.ˈal.eθ / ,plant + food
grandfather,nan, / nˈan / ,old + father
grandness,gad, / gˈad / ,_
grasp,lothr, / lˈoθr / ,_
greatness,gad, / gˈad / ,_
green,kulat, / kˈul.at / ,_
greenness,kulat, / kˈul.at / ,_
ground,thok, / θˈok / ,down + foot
hair,amal, / ˈam.al / ,_
hand,thang, / θˈaŋ / ,_
hanging,nither, / nˈiθ.er / ,putting + up
happy,mat, / mˈat / ,_
hardness,lha, / ɬˈa / ,_
harvest,lesh, / lˈeʃ / ,plant + cutting
hat,durunan, / dur.ˈun.an / ,head + covering
he,ta, / tˈa / ,_
head,dan, / dˈan / ,_
heat,ag, / ˈag / ,_
height,thul, / θˈul / ,_
her,hi-ta, / hˈi.ta / ,GEN + she
her,yu-ta, / jˈu.ta / ,ACC + she
hide,anad, / ˈan.ad / ,_
hiding,dum, / dˈum / ,bbu
him,yu-ta, / jˈu.ta / ,ACC + he
his,hi-ta, / hˈi.ta / ,GEN + she
hoe,leth, / lˈeθ / ,plant + tool
hollow,remi, / rˈem.i / ,_
home,yethil, / jˈeθ.il / ,person + place
hotness,ag, / ˈag / ,_
house,yethil, / jˈeθ.il / ,person + place
how,si-lhan, / sˈi.ɬan / ,INS + INT
I,na, / nˈa / ,_
ice,shush, / ʃˈuʃ / ,_
importance,gad, / gˈad / ,_
in (obsolete),tid, / tˈid / ,_
INDEF,e-, / ˈe / ,_
indefinite marker,e-, / ˈe / ,_
instrument,teshan, / tˈeʃ.an / ,sound + tool
INT,lhan, / ɬˈan / ,_
it (inanimate),lod, / lˈod / ,_
it,lod, / lˈod / ,_
its,hi-lota, / hi.lˈot.a / ,GEN + it
January 20,shush, / ʃˈuʃ / ,ice + ???
January 31,???, / ??? / ,???
January 32,tushuthok, / tuʃ.ˈuθ.ok / ,cold + ground
January 33,mralrem, / mrˈalr.em / ,darkness + flower
January 34,shashanin, / ʃaʃ.ˈan.in / ,ice + berry
January 35,selshith, / sˈelʃ.iθ / ,water + sharpness
January 36,kulumloreshud, / kul.uml.or.ˈeʃ.ud / ,vine + ice
January 37,aysel, / ˈajs.el / ,moon + center
January 38,fol, / fˈol / ,sun + sweet
January 39,lhenashanin, / ɬen.aʃ.ˈan.in / ,spirit + berry
January 40,shaingtlurith, / ʃa.iŋƛ.ˈur.iθ / ,ice + fog
January 41,nanaingtlun, / nan.a.ˈiŋƛ.un / ,star + tar
January 42,???, / ??? / ,???
January 43,nanador, / nan.ˈad.or / ,star + blue
January 44,shakel, / ʃˈak.el / ,ice + branch
January 45,rishwen, / rˈiʃw.en / ,kindness + beauty
January 46,thatlun, / θˈaƛ.un / ,tool + joining
January 47,???, / ??? / ,???
January 48,kulumloretush, / kul.uml.or.ˈet.uʃ / ,vine + cold
January 49,aymen, / ˈajm.en / ,moon + earth
January 51,nanaglar, / nan.ˈagl.ar / ,star + tree
January 52,lanalor, / lan.ˈal.or / ,twilight + plant
January 53,shalor, / ʃˈal.or / ,ice + plant
January 54,kelusyaleth, / kel.usj.ˈal.eθ / ,branch + food
January 55,mralesh, / mrˈal.eʃ / ,darkness + sound
January 56,nanad, / nˈan.ad / ,star + showing
January 57,yisaglar, / jis.ˈagl.ar / ,moon + tree
January 58,mr, / mr / ,earth + showing
January 59,varefethr, / var.ˈef.eθr / ,value + speaking
January 60,nanadyethil, / nan.adj.ˈeθ.il / ,star + home
January,loetush, / lo.ˈet.uʃ / ,two + cold
jealousy,lad, / lˈad / ,wickedness + comparison
joining,tlun, / ƛˈun / ,_
July 1,lhenananaloresyaleth, / ɬen.an.an.al.or.esj.ˈal.eθ / ,dream + star + grain
July 10,selnan, / sˈeln.an / ,water + protection
July 11,melsyaleth, / melsj.ˈal.eθ / ,life + food
July 12,nomen, / nˈom.en / ,sea + stone
July 13,meloanafor, / mel.o.an.ˈaf.or / ,morning + writing
July 14,thangekel, / θaŋ.ˈek.el / ,leaf + branch
July 15,lhenaysan, / ɬen.ˈajs.an / ,dream + moon + animal
July 16,lhenalor, / ɬen.ˈal.or / ,dream + plant
July 17,shaninakel, / ʃan.in.ˈak.el / ,berry + branch
July 18,holashol, / ħol.ˈaʃ.ol / ,sweet + fruit
July 19,dolaglar, / dol.ˈagl.ar / ,death + tree
July 2,yeomlor, / je.ˈoml.or / ,wisdom + plant
July 20,selyethil, / selj.ˈeθ.il / ,water + home
July 21,felakorim, / fel.ak.ˈor.im / ,sun + cycle
July 22,mralshol, / mrˈalʃ.ol / ,dark + fruit
July 23,yisayeol, / jis.aj.ˈe.ol / ,moon + wisdom
July 24,kelulor, / kel.ˈul.or / ,branch + plant
July 25,sethan, / sˈeθ.an / ,water + tool
July 26,mramlor, / mrˈaml.or / ,darkness + plant
July 27,varedrem, / var.ˈedr.em / ,value + flower
July 28,yisdmfed, / jˈisdmf.ed / ,moon + bloom
July 29,rithiledyel, / riθ.il.ˈedj.el / ,sky + person
July 3,lulhenashol, / luɬ.en.ˈaʃ.ol / ,sun + dream + fruit
July 30,lhenumlhen, / ɬen.ˈumɬ.en / ,center + path + dream
July 4,melorethanglar, / mel.or.eθ.ˈaŋl.ar / ,plant + tool + woods
July 5,lhomtlan, / ɬˈomƛ.an / ,day + animal
July 6,meloanalor, / mel.o.an.ˈal.or / ,dawn + plant
July 7,lhenamral, / ɬen.ˈamr.al / ,dream + darkness
July 8,lulhenalor, / luɬ.en.ˈal.or / ,sun + dream + plant
July 9,shaninalhil, / ʃan.in.ˈaɬ.il / ,berry + night
July,loethulef, / lo.eθ.ˈul.ef / ,two + height + sun
June 1,meloanam, / mel.o.ˈan.am / ,morning + bloom
June 10,yethilemnan, / jeθ.il.ˈemn.an / ,home + protection
June 11,thuvglar, / θˈuvgl.ar / ,sword + woods
June 12,nador, / nˈad.or / ,light + blue
June 13,mralsyaleth, / mralsj.ˈal.eθ / ,darkness + food
June 14,luriskwil, / lur.ˈiskw.il / ,wind + movement
June 15,forengothr, / for.ˈeŋ.oθr / ,writing + time
June 16,semlor, / sˈeml.or / ,water + plant
June 17,gaglar, / gˈagl.ar / ,warmth + tree
June 18,mrallhenadrem, / mralɬ.en.ˈadr.em / ,darkness + dream + flower
June 19,tomomen, / tom.ˈom.en / ,root + earth
June 2,rithileaglar, / riθ.il.e.ˈagl.ar / ,sky + tree
June 20,holadyethil, / ħol.adj.ˈeθ.il / ,sweet + home
June 21,meloremnan, / mel.or.ˈemn.an / ,plant + protection
June 22,shotlathang, / ʃoƛ.ˈaθ.aŋ / ,flowing + leaf
June 23,melaglar, / mel.ˈagl.ar / ,life + tree
June 24,tleshor, / ƛˈeʃ.or / ,speed + plant
June 25,rithileay, / riθ.il.ˈe.aj / ,sky + feather
June 26,dolithor, / dol.ˈiθ.or / ,death + smell
June 27,lurithdrem, / lur.ˈiθdr.em / ,wind + flower
June 28,ithrem, / ˈiθr.em / ,thought + flower
June 29,mralshol, / mrˈalʃ.ol / ,darkness + fruit
June 3,aysan, / ˈajs.an / ,moon + tool
June 30,melor, / mˈel.or / ,plant + ???
June 4,lel, / lˈel / ,sun + branch
June 5,meloanatlan, / mel.o.an.ˈaƛ.an / ,morning + animal
June 6,meloreathang, / mel.or.e.ˈaθ.aŋ / ,plant + leaf
June 7,gularenan, / gul.ar.ˈen.an / ,tree + star
June 8,nalhom, / nˈaɬ.om / ,light + container
June 9,temen, / tˈem.en / ,sound + stone
June,lothulef, / loθ.ˈul.ef / ,one + height + sun
killing,vek, / vˈek / ,_
kindness,rish, / rˈiʃ / ,_
knife,nashith, / nˈaʃ.iθ / ,small + sharpness + tool
knot,nalor, / nˈal.or / ,joining + action
knowledge,lhar, / ɬˈar / ,_
lake,tel, / tˈel / ,_
large,mot, / mˈot / ,_
last,par, / pˈar / ,_
leader,fal, / fˈal / ,_
leaf,thang, / θˈaŋ / ,_
left,hed, / ħˈed / ,_
leg,kel, / kˈel / ,_
life,mel, / mˈel / ,_
light,an, / ˈan / ,_
limb,kel, / kˈel / ,_
love,talh, / tˈaɬ / ,_
make,sil, / sˈil / ,_
March 1,yisklumlor, / jiskl.ˈuml.or / ,moon + vine
March 10,todatalh, / tod.ˈat.aɬ / ,eternal + love
March 11,efith, / ˈef.iθ / ,sun + storm
March 12,meloelhaswanalor, / mel.o.eɬ.asw.an.ˈal.or / ,rebirth + plant
March 13,tushudol, / tuʃ.ˈud.ol / ,cold + fruit
March 14,menan, / mˈen.an / ,silver + ???
March 15,rithilekel, / riθ.il.ˈek.el / ,sky + branch
March 16,mrawen, / mrˈaw.en / ,darkness + beauty
March 17,tlafor, / ƛˈaf.or / ,peace + plant
March 18,nanamel, / nan.ˈam.el / ,star + life
March 19,efem, / ˈef.em / ,sun + flower
March 2,efith, / ˈef.iθ / ,sun + sharpness
March 20,nanashith, / nan.ˈaʃ.iθ / ,star + sharpness
March 21,duremlor, / dur.ˈeml.or / ,flower + plant
March 22,rithiledrem, / riθ.il.ˈedr.em / ,sky + flower
March 23,shasith, / ʃˈas.iθ / ,ice + ship
March 24,nanadrem, / nan.ˈadr.em / ,star + flower
March 25,lurithan, / lur.ˈiθ.an / ,storm + animal
March 26,mramlorelhen, / mraml.or.ˈeɬ.en / ,darkness + plant + dream
March 27,gadrem, / gˈadr.em / ,hotness + flower
March 28,lushol, / lˈuʃ.ol / ,sun + fruit
March 29,nanaloresyaleth, / nan.al.or.esj.ˈal.eθ / ,star + grain
March 3,thanshol, / θˈanʃ.ol / ,tool + fruit
March 30,shimilhom, / ʃim.ˈiɬ.om / ,mystery + container
March 4,duremrem, / dur.ˈemr.em / ,flower + flower
March 5,lurithan, / lur.ˈiθ.an / ,wind + animal
March 6,shimilor, / ʃim.ˈil.or / ,mystery + plant
March 7,mrilamen, / mril.ˈam.en / ,sight + stone
March 8,todakesh, / tod.ˈak.eʃ / ,eternal + fire
March 9,todawen, / tod.ˈaw.en / ,eternal + beauty
March,lor, / lˈor / ,one + plant
May 1,selaglar, / sel.ˈagl.ar / ,water + tree
May 10,shotlol, / ʃˈoƛ.ol / ,flowing + fruit
May 11,mramlorean, / mraml.or.ˈe.an / ,darkness + plant + light
May 12,duleleon, / dul.el.ˈe.on / ,trunk + mouth
May 13,???, / ??? / ,???
May 14,shotl, / ʃˈoƛ / ,flowing + ???
May 15,aysan, / ˈajs.an / ,moon + animal
May 16,rithilesyaleth, / riθ.il.esj.ˈal.eθ / ,sky + food
May 17,kelueon, / kel.u.ˈe.on / ,branch + mouth
May 18,mralel, / mrˈal.el / ,darkness + branch
May 19,yisor, / jˈis.or / ,moon + plant
May 2,meloresel, / mel.or.ˈes.el / ,plant + water
May 20,shotlrleth, / ʃˈoƛrl.eθ / ,flowing + hoe
May 21,sethok, / sˈeθ.ok / ,water + down
May 22,shotlom, / ʃˈoƛ.om / ,flowing + bloom
May 23,meloanalor, / mel.o.an.ˈal.or / ,morning + plant
May 24,selumlor, / sel.ˈuml.or / ,water + vine
May 25,nanatlan, / nan.ˈaƛ.an / ,star + animal
May 26,dolor, / dˈol.or / ,death + blue
May 27,yiskel, / jˈisk.el / ,moon + branch
May 28,meloanakel, / mel.o.an.ˈak.el / ,dawn + branch
May 29,shotleon, / ʃoƛ.ˈe.on / ,flowing + mouth
May 3,shotlen, / ʃˈoƛ.en / ,flowing + dream
May 30,shakwil, / ʃˈakw.il / ,ice + movement
May 4,shashithan, / ʃaʃ.ˈiθ.an / ,ice + sharpness + tool
May 5,doltlan, / dˈolƛ.an / ,death + animal
May 6,rithor, / rˈiθ.or / ,air + plant
May 7,munaniay, / mun.an.ˈi.aj / ,protection + moon
May 8,munorhanalor, / mun.orħ.an.ˈal.or / ,dusk + plant
May 9,teleaglar, / tel.e.ˈagl.ar / ,lake + tree
May,felor, / fˈel.or / ,three + plant
me,na, / nˈa / ,_
meat,athir, / ˈaθ.ir / ,tasting + GEN + blood
memory,elom, / ˈel.om / ,_
memory-soul,korim, / kˈor.im / ,_
metal,men, / mˈen / ,tool + GEN + rock
mine,hi-na, / hˈi.na / ,GEN + I
mist,tlurinin, / ƛur.ˈin.in / ,fog + small
month,nunalom, / nun.ˈal.om / ,small + small + cycle
moon,ay, / ˈaj / ,_
morning,meloan, / mel.ˈo.an / ,first + light
mother,mar, / mˈar / ,_
mouth,eon, / ˈe.on / ,_
movement,kiwil, / kˈiw.il / ,_
moving quickly,sethr, / sˈeθr / ,_
mundanity,yal, / jˈal / ,_
mystery,shim, / ʃˈim / ,_
narcotic,lhemlor, / ɬˈeml.or / ,sleep + plant
newness,men, / mˈen / ,_
night,lhil, / ɬˈil / ,_
nighttime,lhil, / ɬˈil / ,_
nine,ki, / kˈi / ,_
non-person hair,anad, / ˈan.ad / ,_
normality,yal, / jˈal / ,_
north,lar, / lˈar / ,_
nose,ven, / vˈen / ,_
not,do, / dˈo / ,_
November 1,nanasyaleth, / nan.asj.ˈal.eθ / ,star + food
November 10,mrallhenathan, / mralɬ.en.ˈaθ.an / ,darkness + dream + tool
November 11,shithanin, / ʃiθ.ˈan.in / ,sharpness + berry
November 12,lethileaglar, / leθ.il.e.ˈagl.ar / ,forest + tree
November 13,kanaithr, / kan.ˈa.iθr / ,change + thought
November 14,sillhum, / sˈilɬ.um / ,existence + goodness
November 15,meloanarithan, / mel.o.an.ar.ˈiθ.an / ,morning + bird
November 16,fedemralrem, / fed.emr.ˈalr.em / ,showing + darkness + flower
November 17,lhiladrem, / ɬil.ˈadr.em / ,night + flower
November 18,lhenakel, / ɬen.ˈak.el / ,dream + branch
November 19,nanathang, / nan.ˈaθ.aŋ / ,star + leaf
November 2,lhoman, / ɬˈom.an / ,day + light
November 20,nathan, / nˈaθ.an / ,light + tool
November 21,???, / ??? / ,???
November 22,???, / ??? / ,???
November 23,holamel, / ħol.ˈam.el / ,sweet + life
November 24,rithdrem, / rˈiθdr.em / ,air + flower
November 25,lhenarith, / ɬen.ˈar.iθ / ,dream + air
November 26,nunasil, / nun.ˈas.il / ,small + existence
November 27,yisen, / jˈis.en / ,moon + dream
November 28,engothr, / ˈeŋ.oθr / ,sun + time
November 29,haradrem, / ħar.ˈadr.em / ,pain + flower
November 3,haralor, / ħar.ˈal.or / ,pain + plant
November 30,meloresyalethalor, / mel.or.esj.al.eθ.ˈal.or / ,grain + plant
November 4,ay, / ˈaj / ,moon + ???
November 5,teleay, / tel.ˈe.aj / ,lake + feather
November 6,holalor, / ħol.ˈal.or / ,sweet + plant
November 7,lhuloresyaleth, / ɬul.or.esj.ˈal.eθ / ,goodness + grain
November 8,dolag, / dˈol.ag / ,death + hotness
November 9,rithtom, / rˈiθt.om / ,air + root
November,ferlesh, / fˈerl.eʃ / ,three + harvest
