English,Tovian,IPA,Category
The mother is speaking the truth.,ila-mar sha fethr iyule-yeol,/ˈilˈamˈar ʃˈa fˈeθr ˈijˈulˈejˈe.ol/,Simple Sentence
The child is watching the sun.,ila-melhen sha mril iyulo-ef,/ˈilˈamˈeɬ.en ʃˈa mrˈil ˈijˈulˈoˈef/,Simple Sentence
Children watch the sun.,eila-melhen ma mril iyulo-ef,/ˈeˈilˈamˈeɬ.en mˈa mrˈil ˈijˈulˈoˈef/,Simple Sentence
The child is speaking at night.,ila-melhen sha fethr itulo-lhil,/ˈilˈamˈeɬ.en ʃˈa fˈeθr ˈitˈulˈoɬˈil/,Simple Sentence
The mother sees the city.,ila-mar fa mril iyulo-shithil,/ˈilˈamˈar fˈa mrˈil ˈijˈulˈoʃˈiθ.il/,Simple Sentence
The father is going to the forest.,ila-pan sha kith isulo-lethil,/ˈilˈapˈan ʃˈa kˈiθ ˈisˈulˈolˈeθ.il/,Simple Sentence
The friend is walking in the city.,ila-yelalh sha nolh itilo-shithil,/ˈilˈajˈel.aɬ ʃˈa nˈoɬ ˈitˈilˈoʃˈiθ.il/,Simple Sentence
The enemy sees the boat.,ila-yey fa mril iyulo-sith,/ˈilˈajˈej fˈa mrˈil ˈijˈulˈosˈiθ/,Simple Sentence
The council is watching the river.,ilo-lhun sha mril iyulo-shotl,/ˈilˈoɬˈun ʃˈa mrˈil ˈijˈulˈoʃˈoƛ/,Simple Sentence
The dog is sleeping in the village.,ila-anon sha lheth itilo-pel,/ˈilˈaˈan.on ʃˈa ɬˈeθ ˈitˈilˈopˈel/,Simple Sentence
The canoe is returning to the lake.,ilo-sith sha gith isulo-tel,/ˈilˈosˈiθ ʃˈa gˈiθ ˈisˈulˈotˈel/,Simple Sentence
The fog is covering the forest.,ilo-tlurith sha munan iyulo-lethil,/ˈilˈoƛˈur.iθ ʃˈa mˈun.an ˈijˈulˈolˈeθ.il/,Simple Sentence
We are speaking the truth.,ne isha fethr iyule-yeol,/nˈe ˈiʃ.a fˈeθr ˈijˈulˈejˈe.ol/,Simple Sentence
We are making peace at night.,ne isha sil yule-tla itulo-lhil,/nˈe ˈiʃ.a sˈil jˈulˈeƛˈa ˈitˈulˈoɬˈil/,Simple Sentence
The mother is teaching the child.,ila-mar sha lhad iyula-melhen,/ˈilˈamˈar ʃˈa ɬˈad ˈijˈulˈamˈeɬ.en/,Simple Sentence
A child is writing this morning.,ela-melhen sha for itulo-mloan,/ˈelˈamˈeɬ.en ʃˈa fˈor ˈitˈulˈomlˈo.an/,Simple Sentence
The father is carrying a knife.,ila-pan sha lhog eyulo-nashith,/ˈilˈapˈan ʃˈa ɬˈog ˈejˈulˈonˈaʃ.iθ/,Simple Sentence
Friends are running to the city.,ele-yelalh sha sethr sulo-shithil,/ˈelˈejˈel.aɬ ʃˈa sˈeθr sˈulˈoʃˈiθ.il/,Simple Sentence
The child sees the moon and the mother is speaking.,"ila-melhen fa mril iyulo-ay, ila-mar sha fethr","/ˈilˈamˈeɬ.en fˈa mrˈil ˈijˈulˈoˈaj, ˈilˈamˈar ʃˈa fˈeθr/",Compound Sentences
The father is carrying water and the dog is running in the forest.,"ila-pan sha lhog yulo-sel, ila-anon sha sethr tilo-lethil","/ˈilˈapˈan ʃˈa ɬˈog jˈulˈosˈel, ˈilˈaˈan.on ʃˈa sˈeθr tˈilˈolˈeθ.il/",Compound Sentences
The friend is speaking in the daytime but the child is watching the sun.,"ila-yelalh sha fethr itulo-twimen, ila-melhen sha mril iyulo-ef","/ˈilˈajˈel.aɬ ʃˈa fˈeθr ˈitˈulˈotwˈim.en, ˈilˈamˈeɬ.en ʃˈa mrˈil ˈijˈulˈoˈef/",Compound Sentences
The mother is writing this morning and the father is teaching the child.,"ila-mar sha for itulo-mloan, ila-pan sha lhad iyula-melhen","/ˈilˈamˈar ʃˈa fˈor ˈitˈulˈomlˈo.an, ˈilˈapˈan ʃˈa ɬˈad ˈijˈulˈamˈeɬ.en/",Compound Sentences
The canoe is going on the lake and the fog is covering the forest.,"ilo-sith sha kith tilo-tel, ilo-tlurith sha munan iyulo-lethil","/ˈilˈosˈiθ ʃˈa kˈiθ tˈilˈotˈel, ˈilˈoƛˈur.iθ ʃˈa mˈun.an ˈijˈulˈolˈeθ.il/",Compound Sentences
The enemy is running to the desert and the council is watching the river.,"ila-yey sha sethr sulo-tlil, ilo-lhun sha mril iyulo-shotl","/ˈilˈajˈej ʃˈa sˈeθr sˈulˈoƛˈil, ˈilˈoɬˈun ʃˈa mrˈil ˈijˈulˈoʃˈoƛ/",Compound Sentences
We are speaking the truth and we are making peace.,"ne isha fethr iyule-yeol, ne isha sil yule-tla","/nˈe ˈiʃ.a fˈeθr ˈijˈulˈejˈe.ol, nˈe ˈiʃ.a sˈil jˈulˈeƛˈa/",Compound Sentences
The person sees in the city and the friend is walking in the city.,"ila-yel fa mril itilo-shithil, ila-yelalh sha nolh itilo-shithil","/ˈilˈajˈel fˈa mrˈil ˈitˈilˈoʃˈiθ.il, ˈilˈajˈel.aɬ ʃˈa nˈoɬ ˈitˈilˈoʃˈiθ.il/",Compound Sentences
The thunder is returning and the boat is going on the river.,"ilo-lrithesh sha gith, ilo-sith sha kith itilo-shotl","/ˈilˈolrˈiθ.eʃ ʃˈa gˈiθ, ˈilˈosˈiθ ʃˈa kˈiθ ˈitˈilˈoʃˈoƛ/",Compound Sentences
A friend is speaking in the daytime and children watch the sun.,"ela-yelalh sha fethr itulo-twimen, eila-melhen ma mril iyulo-ef","/ˈelˈajˈel.aɬ ʃˈa fˈeθr ˈitˈulˈotwˈim.en, ˈeˈilˈamˈeɬ.en mˈa mrˈil ˈijˈulˈoˈef/",Compound Sentences
