english,tovian,tovian_ipa,gloss
grasp,lothr,lˈoθr,grasp
grabbing,lothr,lˈoθr,grabbing
sea,nor,nˈor,sea
time,ngothr,ŋˈoθr,time
knowledge,lhar,ɬˈar,knowledge
possibility,sho,ʃˈo,possibility
sound,tesh,tˈeʃ,sound
tool,than,θˈan,tool
thing,l,l,thing
big,mot,mˈot,big
large,mot,mˈot,large
top,thul,θˈul,top
height,thul,θˈul,height
shallows,sul,sˈul,shallows
shortness,sul,sˈul,shortness
flower,durem,dˈur.em,flower
tree,gular,gˈul.ar,tree
joining,tlun,ƛˈun,joining
possession,el,ˈel,possession
pain,har,ħˈar,pain
showing,fed,fˈed,showing
speech,fethr,fˈeθr,speech
thought,ithr,ˈiθr,thought
consumption,leth,lˈeθ,consumption
tasting,leth,lˈeθ,tasting
eating,leth,lˈeθ,eating
dog,anon,ˈan.on,dog
killing,vek,vˈek,killing
conflict,gulor,gˈul.or,conflict
fighting,gulor,gˈul.or,fighting
movement,kiwil,kˈiw.il,movement
flow,shotl,ʃˈoƛ,flow
feather,ay,ˈaj,feather
finger,tom,tˈom,finger
root,tom,tˈom,root
weight,tlem,ƛˈem,weight
trance,lheth,ɬˈeθ,trance
sleep,lheth,ɬˈeθ,sleep
width,shad,ʃˈad,width
stomach,lor,lˈor,stomach
throwing,yisha,jˈiʃ.a,throwing
putting,man,mˈan,putting
placing,man,mˈan,placing
person_skin,turel,tˈur.el,person skin
hair,amal,ˈam.al,hair
person_hair,amal,ˈam.al,person hair
non_person_hair,anad,ˈan.ad,non-person hair
fur,anad,ˈan.ad,fur
hide,anad,ˈan.ad,hide
skin,anad,ˈan.ad,skin
scales,anad,ˈan.ad,scales
make,sil,sˈil,make
create,sil,sˈil,create
eye,meril,mˈer.il,eye
sight,meril,mˈer.il,sight
seeing,meril,mˈer.il,seeing
watching,meril,mˈer.il,watching
small,nin,nˈin,small
air,rith,rˈiθ,air
fire,kesh,kˈeʃ,fire
burning,kesh,kˈeʃ,burning
stone,men,mˈen,stone
rock,men,mˈen,rock
earth,men,mˈen,earth
animal,tlan,ƛˈan,animal
creature,tlan,ƛˈan,creature
beast,tlan,ƛˈan,beast
ice,shush,ʃˈuʃ,ice
frost,shush,ʃˈuʃ,frost
coldness,tush,tˈuʃ,coldness
cold,tush,tˈuʃ,cold
water,sel,sˈel,water
reaching,kith,kˈiθ,reaching
arriving,kith,kˈiθ,arriving
traveling,kith,kˈiθ,traveling
going,kith,kˈiθ,going
walking,nolh,nˈoɬ,walking
lake,tel,tˈel,lake
woods,gular,gˈul.ar,woods
in_obsolete,tid,tˈid,in (obsolete)
running,sethr,sˈeθr,running
moving_quickly,sethr,sˈeθr,moving quickly
rushing,sethr,sˈeθr,rushing
flowing,shotl,ʃˈoƛ,flowing
thinking,nalh,nˈaɬ,thinking
believing,nalh,nˈaɬ,believing
pondering,nalh,nˈaɬ,pondering
stopping,pal,pˈal,stopping
ceasing,pal,pˈal,ceasing
beginning,lon,lˈon,beginning
starting,lon,lˈon,starting
kindness,rish,rˈiʃ,kindness
beauty,wen,wˈen,beauty
change,kan,kˈan,change
left,hed,ħˈed,left
right,lhiya,ɬˈij.a,right
up,ther,θˈer,up
down,thok,θˈok,down
underside,thok,θˈok,underside
bottom,thok,θˈok,bottom
center,lhel,ɬˈel,center
north,lar,lˈar,north
east,tal,tˈal,east
south,rar,rˈar,south
west,fil,fˈil,west
value,var,vˈar,value
speed,tlesh,ƛˈeʃ,speed
town,pel,pˈel,town
village,pel,pˈel,village
flying,lharis,ɬˈar.is,flying
balance,kar,kˈar,balance
path,num,nˈum,path
blueness,dor,dˈor,blueness
blue,dor,dˈor,blue
greenness,kulat,kˈul.at,greenness
green,kulat,kˈul.at,green
redness,lhod,ɬˈod,redness
red,lhod,ɬˈod,red
hotness,ag,ˈag,hotness
heat,ag,ˈag,heat
warmth,ag,ˈag,warmth
front,heth,ħˈeθ,front
behind,hul,ħˈul,behind
peace,tla,ƛˈa,peace
peacefulness,tla,ƛˈa,peacefulness
calmness,tla,ƛˈa,calmness
calm,tla,ƛˈa,calm
flatness,tum,tˈum,flatness
sharpness,shith,ʃˈiθ,sharpness
alertness,shith,ʃˈiθ,alertness
wakefulness,shith,ʃˈiθ,wakefulness
cutting,shith,ʃˈiθ,cutting
softness,lheth,ɬˈeθ,softness
gentleness,lheth,ɬˈeθ,gentleness
smoothness,lheth,ɬˈeθ,smoothness
thickness,lhul,ɬˈul,thickness
denseness,lhul,ɬˈul,denseness
hardness,lha,ɬˈa,hardness
strength,lha,ɬˈa,strength
stickiness,ing,ˈiŋ,stickiness
completeness,om,ˈom,completeness
wholeness,om,ˈom,wholeness
commonness,yal,jˈal,commonness
mundanity,yal,jˈal,mundanity
normality,yal,jˈal,normality
dream,lhen,ɬˈen,dream
spirit,lhen,ɬˈen,spirit
soul,lhen,ɬˈen,soul
blood,durik,dˈur.ik,blood
foot,shot,ʃˈot,foot
unknown,shim,ʃˈim,unknown
mystery,shim,ʃˈim,mystery
body,adlel,ˈadl.el,body
trunk,adlel,ˈadl.el,trunk
head,dan,dˈan,head
face,tan,tˈan,face
nose,ven,vˈen,nose
tooth,gang,gˈaŋ,tooth
ear,thek,θˈek,ear
leg,kel,kˈel,leg
limb,kel,kˈel,limb
branch,kel,kˈel,branch
arm,kel,kˈel,arm
hand,thang,θˈaŋ,hand
leaf,thang,θˈaŋ,leaf
mouth,eon,ˈe.on,mouth
happy,mat,mˈat,happy
sad,lur,lˈur,sad
leader,fal,fˈal,leader
sun,ef,ˈef,sun
moon,ay,ˈaj,moon
end,par,pˈar,end
final,par,pˈar,final
last,par,pˈar,last
memory,elom,ˈel.om,memory
god_of_memory,elakorim,el.ak.ˈor.im,god of memory
cycle,elakorim,el.ak.ˈor.im,cycle
memory_soul,korim,kˈor.im,memory-soul
empty,remi,rˈem.i,empty
hollow,remi,rˈem.i,hollow
opposite,do,dˈo,opposite
not,do,dˈo,not
un,do,dˈo,un-
being,sil,sˈil,being
existence,sil,sˈil,existence
created_thing,sil,sˈil,created thing
importance,gad,gˈad,importance
grandness,gad,gˈad,grandness
greatness,gad,gˈad,greatness
forever,tod,tˈod,forever
eternal,tod,tˈod,eternal
permanent,tod,tˈod,permanent
bringing,lhog,ɬˈog,bringing
carrying,lhog,ɬˈog,carrying
container,lhom,ɬˈom,container
vessel,lhom,ɬˈom,vessel
one,lo,lˈo,one
1,lo,lˈo,1
two,loe,lˈo.e,two
2,loe,lˈo.e,2
three,fem,fˈem,three
3,fem,fˈem,3
four,tev,tˈev,four
4,tev,tˈev,4
five,rem,rˈem,five
5,rem,rˈem,5
six,tem,tˈem,six
6,tem,tˈem,6
seven,pol,pˈol,seven
7,pol,pˈol,7
eight,ath,ˈaθ,eight
8,ath,ˈaθ,8
nine,ki,kˈi,nine
9,ki,kˈi,9
ten,tir,tˈir,ten
10,tir,tˈir,10
eleven,miyar,mˈij.ar,eleven
11,miyar,mˈij.ar,11
twelve,lhiya,ɬˈij.a,twelve
12,lhiya,ɬˈij.a,12
question,lhan,ɬˈan,question
int,lhan,ɬˈan,INT
me,na,nˈa,me
i,na,nˈa,I
us,ne,nˈe,us
we,ne,nˈe,we
you,wa,wˈa,you
you_plural,we,wˈe,you (plural)
he,ta,tˈa,he
she,ta,tˈa,she
them,ta,tˈa,them
they_plural,te,tˈe,they (plural)
it,lod,lˈod,it
it_inanimate,lod,lˈod,it (inanimate)
them_inanimate,lode,lˈod.e,them (inanimate)
ancient,nan,nˈan,ancient
old,nan,nˈan,old
darkness,meral,mˈer.al,darkness
dark,meral,mˈer.al,dark
proximity,sor,sˈor,proximity
closeness,sor,sˈor,closeness
closure,tam,tˈam,closure
shutting,tam,tˈam,shutting
day,lhom,ɬˈom,day
daytime,tiwimen,tiw.ˈim.en,daytime
night,lhil,ɬˈil,night
nighttime,lhil,ɬˈil,nighttime
shelter,munan,mˈun.an,shelter
protection,munan,mˈun.an,protection
covering,munan,mˈun.an,covering
mother,mar,mˈar,mother
father,pan,pˈan,father
comparison,lad,lˈad,comparison
goodness,lhum,ɬˈum,goodness
virtue,lhum,ɬˈum,virtue
evil,yal,jˈal,evil
wickedness,yal,jˈal,wickedness
badness,yal,jˈal,badness
surpassing,ngam,ŋˈam,surpassing
exceeding,ngam,ŋˈam,exceeding
overwhelming,ngam,ŋˈam,overwhelming
desire,tenod,tˈen.od,desire
fruit,shol,ʃˈol,fruit
newness,men,mˈen,newness
world,han,ħˈan,world
love,talh,tˈaɬ,love
playing,kog,kˈog,playing
speaking,fethr,fˈeθr,speaking
sharing,nal,nˈal,sharing
plant,melor,mˈel.or,plant
instrument,teshan,tˈeʃ.an,instrument
sword,thuv,θˈuv,sword
knife,nashith,nˈaʃ.iθ,knife
hoe,leth,lˈeθ,hoe
house,yethil,jˈeθ.il,house
home,yethil,jˈeθ.il,home
wind,lurith,lˈur.iθ,wind
breath,lurith,lˈur.iθ,breath
writing,for,fˈor,writing
painting,for,fˈor,painting
tie,nalor,nˈal.or,tie
bind,nalor,nˈal.or,bind
knot,nalor,nˈal.or,knot
boat,sith,sˈiθ,boat
ship,sith,sˈiθ,ship
canoe,sith,sˈiθ,canoe
future,hethe,ħˈeθ.e,future
past,hune,ħˈun.e,past
present,nume,nˈum.e,present
sky,rithil,rˈiθ.il,sky
plain,til,tˈil,plain
tar,tlun,ƛˈun,tar
discovery,sahyeol,saħj.ˈe.ol,discovery
meat,athir,ˈaθ.ir,meat
floor,thok,θˈok,floor
ground,thok,θˈok,ground
food,siyaleth,sij.ˈal.eθ,food
dreambringer,anolhyel,an.ˈoɬj.el,dreambringer
waking_dreambringer,anshish,ˈanʃ.iʃ,waking dreambringer
child,melhen,mˈeɬ.en,child
young,don,dˈon,young
year,nalom,nˈal.om,year
first,pul,pˈul,first
second,meloe,mel.ˈo.e,second
becoming,kan,kˈan,becoming
smile,maon,mˈa.on,smile
frown,laon,lˈa.on,frown
full,remhad,rˈemħ.ad,full
report,yeolfethr,je.ˈolf.eθr,report
confession,yeolfethr,je.ˈolf.eθr,confession
city,shithil,ʃˈiθ.il,city
river,shotl,ʃˈoƛ,river
sand,thoksh,θˈokʃ,sand
desert,shil,ʃˈil,desert
forest,lethil,lˈeθ.il,forest
council,lhun,ɬˈun,council
washing,sor,sˈor,washing
dance,lor,lˈor,dance
demonstration,led,lˈed,demonstration
teaching,lhad,ɬˈad,teaching
thirteen,lhiyal,ɬˈij.al,thirteen
13,lhiyal,ɬˈij.al,13
fourteen,lhiyalo,ɬij.ˈal.o,fourteen
14,lhiyalo,ɬij.ˈal.o,14
fifteen,lhiyam,ɬˈij.am,fifteen
15,lhiyam,ɬˈij.am,15
sixteen,lhiyatev,ɬij.ˈat.ev,sixteen
16,lhiyatev,ɬij.ˈat.ev,16
twenty,lhiyath,ɬˈij.aθ,twenty
20,lhiyath,ɬˈij.aθ,20
twenty_four,loelh,lˈo.eɬ,twenty four
24,loelh,lˈo.eɬ,24
twenty_five,loelhyal,lo.ˈeɬj.al,twenty five
25,loelhyal,lo.ˈeɬj.al,25
twenty_six,loelhyalo,lo.eɬj.ˈal.o,twenty six
26,loelhyalo,lo.eɬj.ˈal.o,26
thirty,loelhyatem,lo.eɬj.ˈat.em,thirty
30,loelhyatem,lo.eɬj.ˈat.em,30
thirty_six,femlh,fˈemɬ,thirty six
36,femlh,fˈemɬ,36
forty_eight,tev,tˈev,forty eight
48,tev,tˈev,48
one_hundred_forty_four,lhiyalh,ɬˈij.aɬ,one hundred forty four
144,lhiyalh,ɬˈij.aɬ,144
week,tirlhom,tˈirɬ.om,week
month,nunalom,nun.ˈal.om,month
grandfather,nan,nˈan,grandfather
hat,durunan,dur.ˈun.an,hat
jealousy,lad,lˈad,jealousy
dawn,meloan,mel.ˈo.an,dawn
morning,meloan,mel.ˈo.an,morning
dusk,munorhan,mun.ˈorħ.an,dusk
evening,munorhan,mun.ˈorħ.an,evening
sunset,munorhan,mun.ˈorħ.an,sunset
shadow,lan,lˈan,shadow
twilight,lan,lˈan,twilight
star,nan,nˈan,star
sweet,hol,ħˈol,sweet
berry,shanin,ʃˈan.in,berry
fog,tlurith,ƛˈur.iθ,fog
season,rithagom,riθ.ˈag.om,season
harvest,lesh,lˈeʃ,harvest
metal,men,mˈen,metal
bloom,med,mˈed,bloom
storm,lurith,lˈur.iθ,storm
thunder,lurithesh,lur.ˈiθ.eʃ,thunder
vine,kulumlor,kul.ˈuml.or,vine
birth,lhaswan,ɬˈasw.an,birth
rebirth,meloelhaswan,mel.o.eɬ.ˈasw.an,rebirth
silver,menan,mˈen.an,silver
grain,meloresyaleth,mel.or.esj.ˈal.eθ,grain
smell,rithor,rˈiθ.or,smell
mist,tlurinin,ƛur.ˈin.in,mist
bird,rithan,rˈiθ.an,bird
spring_vegetable,ledul,lˈed.ul,spring vegetable
adventure,thim,θˈim,adventure
returning,gith,gˈiθ,returning
common_bird,yalrith,jˈalr.iθ,common bird
shine,nalor,nˈal.or,shine
undershine,hi-thokan,ħi.θˈok.an,undershine
openness,dam,dˈam,openness
hanging,nither,nˈiθ.er,hanging
friend,yelalh,jˈel.aɬ,friend
ally,yelalh,jˈel.aɬ,ally
friendship,yelalh,jˈel.aɬ,friendship
enemy,yey,jˈej,enemy
narcotic,lhemlor,ɬˈeml.or,narcotic
repitition,lenum,lˈen.um,repitition
turn,lelom,lˈel.om,turn
rotate,lelom,lˈel.om,rotate
abandoned,remhil,rˈemħ.il,abandoned
orphan,remhedyel,remħ.ˈedj.el,orphan
sunshower,efwyrith,ˈefwjr.iθ,sunshower
desk,foretum,for.ˈet.um,desk
brick,men,mˈen,brick
tease,kogyal,kˈogj.al,tease
they,ta-e,tˈa.e,they
who,i-lhan,ˈi.ɬan,who
whom,yu-lhan,jˈu.ɬan,whom
whose,hi-lhan,hˈi.ɬan,whose
what,lo-lhan,lˈo.ɬan,what
where,ti-lhan,tˈi.ɬan,where
when,tu-lhan,tˈu.ɬan,when
why,lhu-lhan,ɬˈu.ɬan,why
how,si-lhan,sˈi.ɬan,how
your,hi-wa,hˈi.wa,your
his,hi-ta,hˈi.ta,his
her,hi-ta,hˈi.ta,her
their,hi-ta,hˈi.ta,their
its,hi-lota,hi.lˈot.a,its
our,hi-ne,hˈi.ne,our
ours,hi-ne,hˈi.ne,ours
mine,hi-na,hˈi.na,mine
their_2,hi-ta-e,hi.tˈa.e,their
whoever,hi-lhanshimi,hi.ɬanʃ.ˈim.i,whoever
whichever,hi-lhanshimi,hi.ɬanʃ.ˈim.i,whichever
spring,melhelor,meɬ.ˈel.or,Spring
autumn,melherlesh,meɬ.ˈerl.eʃ,Autumn
summer,melheag,meɬ.ˈe.ag,Summer
winter,melhetush,meɬ.ˈet.uʃ,Winter
december,lotush,lˈot.uʃ,December
1_of_winter,lurithdrem,lur.ˈiθdr.em,1 of winter
december_1,lurithdrem,lur.ˈiθdr.em,december 1
2_of_winter,dolshanin,dolʃ.ˈan.in,2 of winter
december_2,dolshanin,dolʃ.ˈan.in,december 2
3_of_winter,???,???,3 of winter
december_3,???,???,december 3
4_of_winter,???,???,4 of winter
december_4,???,???,december 4
5_of_winter,lurithan,lur.ˈiθ.an,5 of winter
december_5,lurithan,lur.ˈiθ.an,december 5
6_of_winter,shotltom,ʃˈoƛt.om,6 of winter
december_6,shotltom,ʃˈoƛt.om,december 6
7_of_winter,meloanathan,mel.o.an.ˈaθ.an,7 of winter
december_7,meloanathan,mel.o.an.ˈaθ.an,december 7
8_of_winter,dolrem,dˈolr.em,8 of winter
december_8,dolrem,dˈolr.em,december 8
9_of_winter,lurithaglar,lur.iθ.ˈagl.ar,9 of winter
december_9,lurithaglar,lur.iθ.ˈagl.ar,december 9
10_of_winter,luriskwil,lur.ˈiskw.il,10 of winter
december_10,luriskwil,lur.ˈiskw.il,december 10
11_of_winter,fedrlad,fˈedrl.ad,11 of winter
december_11,fedrlad,fˈedrl.ad,december 11
12_of_winter,rithaglar,riθ.ˈagl.ar,12 of winter
december_12,rithaglar,riθ.ˈagl.ar,december 12
13_of_winter,shotlan,ʃˈoƛ.an,13 of winter
december_13,shotlan,ʃˈoƛ.an,december 13
14_of_winter,fedetush,fed.ˈet.uʃ,14 of winter
december_14,fedetush,fed.ˈet.uʃ,december 14
15_of_winter,lurithen,lur.ˈiθ.en,15 of winter
december_15,lurithen,lur.ˈiθ.en,december 15
16_of_winter,loreayeol,lor.e.aj.ˈe.ol,16 of winter
december_16,loreayeol,lor.e.aj.ˈe.ol,december 16
17_of_winter,lanam,lˈan.am,17 of winter
december_17,lanam,lˈan.am,december 17
18_of_winter,nanalor,nan.ˈal.or,18 of winter
december_18,nanalor,nan.ˈal.or,december 18
19_of_winter,ayswen,ˈajsw.en,19 of winter
december_19,ayswen,ˈajsw.en,december 19
20_of_winter,lurithun,lur.ˈiθ.un,20 of winter
december_20,lurithun,lur.ˈiθ.un,december 20
21_of_winter,lhilaglar,ɬil.ˈagl.ar,21 of winter
december_21,lhilaglar,ɬil.ˈagl.ar,december 21
22_of_winter,lan,lˈan,22 of winter
december_22,lan,lˈan,december 22
23_of_winter,lanasyaleth,lan.asj.ˈal.eθ,23 of winter
december_23,lanasyaleth,lan.asj.ˈal.eθ,december 23
24_of_winter,lhonrem,ɬˈonr.em,24 of winter
december_24,lhonrem,ɬˈonr.em,december 24
25_of_winter,nan,nˈan,25 of winter
december_25,nan,nˈan,december 25
26_of_winter,shotlodrem,ʃoƛ.ˈodr.em,26 of winter
december_26,shotlodrem,ʃoƛ.ˈodr.em,december 26
27_of_winter,doraklrith,dor.ˈaklr.iθ,27 of winter
december_27,doraklrith,dor.ˈaklr.iθ,december 27
28_of_winter,kulumloremlan,kul.uml.or.ˈeml.an,28 of winter
december_28,kulumloremlan,kul.uml.or.ˈeml.an,december 28
29_of_winter,ayskesh,ˈajsk.eʃ,29 of winter
december_29,ayskesh,ˈajsk.eʃ,december 29
30_of_winter,lurith,lˈur.iθ,30 of winter
december_30,lurith,lˈur.iθ,december 30
january,loetush,lo.ˈet.uʃ,January
31_of_winter,???,???,31 of winter
january_31,???,???,January 31
32_of_winter,tushuthok,tuʃ.ˈuθ.ok,32 of winter
january_32,tushuthok,tuʃ.ˈuθ.ok,January 32
33_of_winter,meralrem,mer.ˈalr.em,33 of winter
january_33,meralrem,mer.ˈalr.em,January 33
34_of_winter,shashanin,ʃaʃ.ˈan.in,34 of winter
january_34,shashanin,ʃaʃ.ˈan.in,January 34
35_of_winter,selshith,sˈelʃ.iθ,35 of winter
january_35,selshith,sˈelʃ.iθ,January 35
36_of_winter,kulumloreshud,kul.uml.or.ˈeʃ.ud,36 of winter
january_36,kulumloreshud,kul.uml.or.ˈeʃ.ud,January 36
37_of_winter,aysel,ˈajs.el,37 of winter
january_37,aysel,ˈajs.el,January 37
38_of_winter,fol,fˈol,38 of winter
january_38,fol,fˈol,January 38
39_of_winter,lhenashanin,ɬen.aʃ.ˈan.in,39 of winter
january_39,lhenashanin,ɬen.aʃ.ˈan.in,January 39
40_of_winter,shaingtlurith,ʃa.iŋƛ.ˈur.iθ,40 of winter
january_40,shaingtlurith,ʃa.iŋƛ.ˈur.iθ,January 40
41_of_winter,nanaingtlun,nan.a.ˈiŋƛ.un,41 of winter
january_41,nanaingtlun,nan.a.ˈiŋƛ.un,January 41
42_of_winter,???,???,42 of winter
january_42,???,???,January 42
43_of_winter,nanador,nan.ˈad.or,43 of winter
january_43,nanador,nan.ˈad.or,January 43
44_of_winter,shakel,ʃˈak.el,44 of winter
january_44,shakel,ʃˈak.el,January 44
45_of_winter,rishwen,rˈiʃw.en,45 of winter
january_45,rishwen,rˈiʃw.en,January 45
46_of_winter,thatlun,θˈaƛ.un,46 of winter
january_46,thatlun,θˈaƛ.un,January 46
47_of_winter,???,???,47 of winter
january_47,???,???,January 47
48_of_winter,kulumloretush,kul.uml.or.ˈet.uʃ,48 of winter
january_48,kulumloretush,kul.uml.or.ˈet.uʃ,January 48
49_of_winter,aymen,ˈajm.en,49 of winter
january_49,aymen,ˈajm.en,January 49
20_of_winter_2,shush,ʃˈuʃ,20 of winter
january_20,shush,ʃˈuʃ,January 20
51_of_winter,nanaglar,nan.ˈagl.ar,51 of winter
january_51,nanaglar,nan.ˈagl.ar,January 51
52_of_winter,lanalor,lan.ˈal.or,52 of winter
january_52,lanalor,lan.ˈal.or,January 52
53_of_winter,shalor,ʃˈal.or,53 of winter
january_53,shalor,ʃˈal.or,January 53
54_of_winter,kelusyaleth,kel.usj.ˈal.eθ,54 of winter
january_54,kelusyaleth,kel.usj.ˈal.eθ,January 54
55_of_winter,meralesh,mer.ˈal.eʃ,55 of winter
january_55,meralesh,mer.ˈal.eʃ,January 55
56_of_winter,nanad,nˈan.ad,56 of winter
january_56,nanad,nˈan.ad,January 56
57_of_winter,yisaglar,jis.ˈagl.ar,57 of winter
january_57,yisaglar,jis.ˈagl.ar,January 57
58_of_winter,mer,mˈer,58 of winter
january_58,mer,mˈer,January 58
59_of_winter,varefethr,var.ˈef.eθr,59 of winter
january_59,varefethr,var.ˈef.eθr,January 59
60_of_winter,nanadyethil,nan.adj.ˈeθ.il,60 of winter
january_60,nanadyethil,nan.adj.ˈeθ.il,January 60
february,femush,fˈem.uʃ,February
61_of_winter,tushulor,tuʃ.ˈul.or,61 of winter
february_1,tushulor,tuʃ.ˈul.or,February 1
62_of_winter,thokmramen,θokmr.ˈam.en,62 of winter
february_2,thokmramen,θokmr.ˈam.en,February 2
63_of_winter,meralingtlun,mer.al.ˈiŋƛ.un,63 of winter
february_3,meralingtlun,mer.al.ˈiŋƛ.un,February 3
64_of_winter,nanamen,nan.ˈam.en,64 of winter
february_4,nanamen,nan.ˈam.en,February 4
65_of_winter,yisanon,jis.ˈan.on,65 of winter
february_5,yisanon,jis.ˈan.on,February 5
66_of_winter,lhenashotl,ɬen.ˈaʃ.oƛ,66 of winter
february_6,lhenashotl,ɬen.ˈaʃ.oƛ,February 6
67_of_winter,menlor,mˈenl.or,67 of winter
february_7,menlor,mˈenl.or,February 7
68_of_winter,mersyaleth,mersj.ˈal.eθ,68 of winter
february_8,mersyaleth,mersj.ˈal.eθ,February 8
69_of_winter,shalhen,ʃˈaɬ.en,69 of winter
february_9,shalhen,ʃˈaɬ.en,February 9
70_of_winter,tushuthan,tuʃ.ˈuθ.an,70 of winter
february_10,tushuthan,tuʃ.ˈuθ.an,February 10
71_of_winter,thanramen,θanr.ˈam.en,71 of winter
february_11,thanramen,θanr.ˈam.en,February 11
72_of_winter,numvar,nˈumv.ar,72 of winter
february_12,numvar,nˈumv.ar,February 12
73_of_winter,meramen,mer.ˈam.en,73 of winter
february_13,meramen,mer.ˈam.en,February 13
74_of_winter,merfor,mˈerf.or,74 of winter
february_14,merfor,mˈerf.or,February 14
75_of_winter,shashol,ʃˈaʃ.ol,75 of winter
february_15,shashol,ʃˈaʃ.ol,February 15
76_of_winter,namen,nˈam.en,76 of winter
february_16,namen,nˈam.en,February 16
77_of_winter,lhenamen,ɬen.ˈam.en,77 of winter
february_17,lhenamen,ɬen.ˈam.en,February 17
78_of_winter,yisdeshol,jisd.ˈeʃ.ol,78 of winter
february_18,yisdeshol,jisd.ˈeʃ.ol,February 18
79_of_winter,nanalhen,nan.ˈaɬ.en,79 of winter
february_19,nanalhen,nan.ˈaɬ.en,February 19
80_of_winter,merathan,mer.ˈaθ.an,80 of winter
february_20,merathan,mer.ˈaθ.an,February 20
81_of_winter,duremen,dur.ˈem.en,81 of winter
february_1_2,duremen,dur.ˈem.en,February 1
82_of_winter,siyalethanan,sij.al.eθ.ˈan.an,82 of winter
february_22,siyalethanan,sij.al.eθ.ˈan.an,February 22
83_of_winter,aymen,ˈajm.en,83 of winter
february_23,aymen,ˈajm.en,February 23
84_of_winter,meloanamen,mel.o.an.ˈam.en,84 of winter
february_24,meloanamen,mel.o.an.ˈam.en,February 24
85_of_winter,nanatan,nan.ˈat.an,85 of winter
february_25,nanatan,nan.ˈat.an,February 25
86_of_winter,lanamen,lan.ˈam.en,86 of winter
february_26,lanamen,lan.ˈam.en,February 26
87_of_winter,meramen,mer.ˈam.en,87 of winter
february_27,meramen,mer.ˈam.en,February 27
88_of_winter,lan,lˈan,88 of winter
february_28,lan,lˈan,February 28
89_of_winter,tleshmen,ƛˈeʃm.en,89 of winter
february_29,tleshmen,ƛˈeʃm.en,February 29
90_of_winter,shathan,ʃˈaθ.an,90 of winter
february_30,shathan,ʃˈaθ.an,February 30
march,lor,lˈor,March
1_of_spring,yisklumlor,jiskl.ˈuml.or,1 of spring
march_1,yisklumlor,jiskl.ˈuml.or,March 1
2_of_spring,efith,ˈef.iθ,2 of spring
march_2,efith,ˈef.iθ,March 2
3_of_spring,thanshol,θˈanʃ.ol,3 of spring
march_3,thanshol,θˈanʃ.ol,March 3
