Year,Word,Translation,Roots,POS,Note
0,θok,down/underside/bottom,_,N,_
0,ɬel,center,_,N,_
0,lare,north,_,N,_
0,tal,east,_,N,_
0,rar,south,_,N,_
0,fil,west,_,N,_
0,velare,value,_,N,_
0,ƛeʒ,speed,_,N,_
0,pelor,town/village,_,N,_
998,ɬeʒariza,flying,_,N,_
0,kara,balance,_,N,_
0,num,path,_,N,_
0,dora,blueness/blue,_,N,_
0,klat,greenness/green,_,N,_
0,ɬehoten,redness/red,_,N,_
0,asaka,hotness/heat/warmth,_,N,_
0,heθ,front,_,N,_
0,hul,behind,_,N,_
0,ƛaf,peace/peacefulness/calmness/calm,_,N,_
0,tum,flatness,consistency/stability,_,N,_
0,ʒiθ,sharpness/alertness/wakefulness/cutting,_,N,_
0,ɬeθ,softness/gentleness/smoothness,_,N,_
0,ɬunol,thickness/denseness,_,N,_
0,ɬaa,hardness/strength,_,N,_
0,inga,stickiness,_,N,_
0,oma,completeness/wholeness,_,N,_
0,ileriala,commonness/mundanity/normality,_,N,_
0,ɬena,dream/spirit/soul,_,N,_
0,driks,blood,_,N,_
0,ʃot,foot,_,N,_   
0,ʃimi,unknown/mystery,_,N,_
0,atellenal,body/trunk,_,N,_
0,darun,head,_,N,_
0,taran,face,_,N,_
0,verun,nose,_,N,_
0,ganga,tooth,_,N,_
0,θek,ear,_,N,_
0,kelu,leg/limb/branch/arm,_,N,_
0,aðange,hand/leaf,_,N,_
0,eolan,mouth,_,N,_
0,matta,happy,_,N,_
0,lura,sad,_,N,_
0,falor,leader,_,N,_
0,eifol,sun,_,N,_
0,alius,moon,_,N,_
0,panor,end/final/last,_,N,_
0,elakorim,memory,_,N,_
-1,elakorim,god of memory/cycle,_,N,_
-1,korim,memory-soul,_,N,_
0,oneremiha,empty/hollow,_,N,_
0,do,opposite/not/un-,_,N,_
0,sil,being/existence/created thing,_,N,_
0,agata,importance/grandness/greatness,_,N,_
0,toda,forever/eternal/permanent,_,N,_
0,ɬoga,bringing/carrying,_,N,_
0,ɬoma,container/vessel,_,N,_
0,lo,one/1,_,N,_
0,lo,two/2,_,Ns,_
0,fem,three/3,_,N,_
0,tev,four/4,_,N,_
0,rep,five/5,_,N,_
0,tep,six/6,_,N,_
0,pol,seven/7,_,N,_
0,aθ,eight/8,_,N,_
0,ki,nine/9,_,N,_
0,tir,ten/10,_,N,_
0,bejar,eleven/11,_,N,_
0,ɬija,twelve/12,_,N,_
0,ɬan,question/INT,_,INT,_
0,na,me/I,_,P,_
0,ne,us/we,_,Ps,_
0,wa,you,_,P,_
0,we,you (plural),_,Ps,_
0,ta,he/she/them,_,P,_
0,te,they (plural),_,Ps,_
0,lota,it/it (inanimate),_,P,_
0,lote,them (inanimate),_,Ps,_
0,nan,ancientness/antiquity/oldness,_,N,_
0,bral,darkness/dark,_,N,_
0,sor,proximity/closeness,_,N,_
0,tanum,closure/shutting,_,N,_
0,ɬonum,day,_,N,Period of time
0,tuimena,daytime,_,N,Time of day
0,aɬetinla,night/nighttime,_,N,Time of day
0,benani,shelter/protection/covering,_,N,_
0,mari,mother,_,N,_
0,pander,father,_,N,_
0,roladil,comparison,_,N,_
0,ɬum,goodness/virtue,_,N,_
0,ojal,evil/wickedness/badness,_,N,_
0,ŋoŋabi,surpassing/exceeding/overwhelming,_,N,_
0,tinotam,desire,_,N,_
0,ʒola,fruit,_,N,_
0,ʒemeno,newness,_,N,_
0,hutanna,world,_,N,_
0,salamin,gift,_,N,_
0,taɬav,love,_,N,_
0,kokoki,playing,_,N,_
