English,Tovian,IPA,Category
"Your friend is speaking in the daytime.","{% tovc ""nom.ani-friend your aux_3_cnt_prs speech def.temp.inan-daytime"" %}","{% tovipa ""nom.ani.friend aux_3_cnt_prs speech def.temp.inan.daytime"" %}",Simple Sentence
"Their friend is speaking in the daytime.","{% tovc ""nom.ani-friend their aux_3_cnt_prs speech def.temp.inan-daytime"" %}","{% tovipa ""nom.ani.friend aux_3_cnt_prs speech def.temp.inan.daytime"" %}",Simple Sentence
"The child sees the moon.","{% tovc ""nom.ani-child aux_3_sim_prs sight def.acc.inan-moon"" %}","{% tovipa ""nom.ani.child aux_3_sim_prs sight def.acc.inan.moon"" %}",Simple Sentence
"The mother is eating food.","{% tovc ""nom.ani-mother aux_3_cnt_prs eating def.acc.inan-food"" %}","{% tovipa ""nom.ani.mother aux_3_cnt_prs eating def.acc.inan.food"" %}",Simple Sentence
"The dog is running in the forest.","{% tovc ""nom.ani-dog aux_3_cnt_prs running loc.inan-forest"" %}","{% tovipa ""nom.ani.dog aux_3_cnt_prs running loc.inan.forest"" %}",Simple Sentence
"The boat is going on the river.","{% tovc ""nom.inan-boat aux_3_cnt_prs going def.loc.inan-river"" %}","{% tovipa ""nom.inan.boat aux_3_cnt_prs going def.loc.inan.river"" %}",Simple Sentence
"The father is watching the stars.","{% tovc ""nom.ani-father aux_3_cnt_prs watching def.acc.inan-star+pl"" %}","{% tovipa ""nom.ani.father aux_3_cnt_prs watching def.acc.inan.star+pl"" %}",Simple Sentence
"The father is carrying a knife.","{% tovc ""nom.ani-father aux_3_cnt_prs carrying indef.acc.inan-knife"" %}","{% tovipa ""nom.ani.father aux_3_cnt_prs carrying indef.acc.inan.knife"" %}",Simple Sentence
"We are thinking at night.","{% tovc ""we aux_1_cnt_prs thinking def.temp.inan-night"" %}","{% tovipa ""we aux_1_cnt_prs thinking def.temp.inan.night"" %}",Simple Sentence
"The child is sleeping at home.","{% tovc ""nom.ani-child aux_3_cnt_prs sleep def.loc.inan-home"" %}","{% tovipa ""nom.ani.child aux_3_cnt_prs sleep def.loc.inan.home"" %}",Simple Sentence
"The father is carrying water.","{% tovc ""nom.ani-father aux_3_cnt_prs carrying acc.inan-water"" %}","{% tovipa ""nom.ani.father aux_3_cnt_prs carrying acc.inan.water"" %}",Simple Sentence
"The child is walking to the village.","{% tovc ""nom.ani-child aux_3_cnt_prs walking def.all.inan-village"" %}","{% tovipa ""nom.ani.child aux_3_cnt_prs walking def.all.inan.village"" %}",Simple Sentence
"The child is walking to a village.","{% tovc ""nom.ani-child aux_3_cnt_prs walking indef.all.inan-village"" %}","{% tovipa ""nom.ani.child aux_3_cnt_prs walking indef.all.inan.village"" %}",Simple Sentence
"The mother is writing this morning.","{% tovc ""nom.ani-mother aux_3_cnt_prs writing def.temp.inan-morning"" %}","{% tovipa ""nom.ani.mother aux_3_cnt_prs writing def.temp.inan.morning"" %}",Simple Sentence
"The mother usually writes in the mornings.","{% tovc ""nom.ani-mother aux_3_hab_prs writing indef.temp.inan-morning"" %}","{% tovipa ""nom.ani.mother aux_3_hab_prs writing indef.temp.inan.morning"" %}",Simple Sentence
"The council is speaking.","{% tovc ""nom.inan-council aux_3_cnt_prs speaking"" %}","{% tovipa ""nom.inan.council aux_3_cnt_prs speaking"" %}",Simple Sentence
"The child is carrying a knife.","{% tovc ""nom.ani-child aux_3_cnt_prs carrying indef.acc.inan-knife"" %}","{% tovipa ""nom.ani.child aux_3_cnt_prs carrying indef.acc.inan.knife"" %}",Simple Sentence
"The canoe is going on the lake.","{% tovc ""nom.inan-canoe aux_3_cnt_prs going loc.inan-lake"" %}","{% tovipa ""nom.inan.canoe aux_3_cnt_prs going loc.inan.lake"" %}",Simple Sentence
"The fog is covering the village.","{% tovc ""nom.inan-fog aux_3_cnt_prs covering def.acc.inan-village"" %}","{% tovipa ""nom.inan.fog aux_3_cnt_prs covering def.acc.inan.village"" %}",Simple Sentence
"The thunder is returning.","{% tovc ""nom.inan-thunder aux_3_cnt_prs returning"" %}","{% tovipa ""nom.inan.thunder aux_3_cnt_prs returning"" %}",Simple Sentence
"The enemy is running to the desert.","{% tovc ""nom.ani-enemy aux_3_cnt_prs running all.inan-desert"" %}","{% tovipa ""nom.ani.enemy aux_3_cnt_prs running all.inan.desert"" %}",Simple Sentence
"The father is teaching the child.","{% tovc ""nom.ani-father aux_3_cnt_prs teaching def.acc-ani-child"" %}","{% tovipa ""nom.ani.father aux_3_cnt_prs teaching def.acc.ani.child"" %}",Simple Sentence
"We are making peace.","{% tovc ""we aux_1_cnt_prs make acc-abs-peace"" %}","{% tovipa ""we aux_1_cnt_prs make acc.abs.peace"" %}",Simple Sentence
"The mother is speaking the truth.","{% tovc ""nom.ani-mother aux_3_cnt_prs speaking def.acc.abs-truth"" %}","{% tovipa ""nom.ani.mother aux_3_cnt_prs speaking def.acc.abs.truth"" %}",Simple Sentence
"The child is watching the sky.","{% tovc ""nom.ani-child aux_3_cnt_prs watching def.acc.inan-sky"" %}","{% tovipa ""nom.ani.child aux_3_cnt_prs watching def.acc.inan.sky"" %}",Simple Sentence
"Children watch the sky.","{% tovc ""indef.nom.ani-child aux_3_hab_prs watching def.acc.inan-sky"" %}","{% tovipa ""indef.nom.ani.child aux_3_hab_prs watching def.acc.inan.sky"" %}",Simple Sentence
"The child is speaking at night.","{% tovc ""nom.ani-child aux_3_cnt_prs speech temp.inan-night"" %}","{% tovipa ""nom.ani.child aux_3_cnt_prs speech temp.inan.night"" %}",Simple Sentence
"The mother sees the city.","{% tovc ""nom.ani-mother aux_3_sim_prs sight def.acc.inan-city"" %}","{% tovipa ""nom.ani.mother aux_3_sim_prs sight def.acc.inan.city"" %}",Simple Sentence
"The father is going to the forest.","{% tovc ""nom.ani-father aux_3_cnt_prs going def.all.inan-forest"" %}","{% tovipa ""nom.ani.father aux_3_cnt_prs going def.all.inan.forest"" %}",Simple Sentence
"The friend is walking in the city.","{% tovc ""nom.ani-friend aux_3_cnt_prs walking def.loc.inan-city"" %}","{% tovipa ""nom.ani.friend aux_3_cnt_prs walking def.loc.inan.city"" %}",Simple Sentence
"The enemy sees the boat.","{% tovc ""nom.ani-enemy aux_3_sim_prs sight def.acc.inan-boat"" %}","{% tovipa ""nom.ani.enemy aux_3_sim_prs sight def.acc.inan.boat"" %}",Simple Sentence
"The council is watching the river.","{% tovc ""nom.inan-council aux_3_cnt_prs watching def.acc.inan-river"" %}","{% tovipa ""nom.inan.council aux_3_cnt_prs watching def.acc.inan.river"" %}",Simple Sentence
"The dog is sleeping in the village.","{% tovc ""nom.ani-dog aux_3_cnt_prs sleep def.loc.inan-village"" %}","{% tovipa ""nom.ani.dog aux_3_cnt_prs sleep def.loc.inan.village"" %}",Simple Sentence
"The canoe is returning to the lake.","{% tovc ""nom.inan-canoe aux_3_cnt_prs returning def.all.inan-lake"" %}","{% tovipa ""nom.inan.canoe aux_3_cnt_prs returning def.all.inan.lake"" %}",Simple Sentence
"The fog is covering the forest.","{% tovc ""nom.inan-fog aux_3_cnt_prs covering def.acc.inan-forest"" %}","{% tovipa ""nom.inan.fog aux_3_cnt_prs covering def.acc.inan.forest"" %}",Simple Sentence
"We are speaking the truth.","{% tovc ""we aux_1_cnt_prs speech def.acc.abs-truth"" %}","{% tovipa ""we aux_1_cnt_prs speech def.acc.abs.truth"" %}",Simple Sentence
"We are making peace at night.","{% tovc ""we aux_1_cnt_prs make acc.abs-peace def.temp.inan-night"" %}","{% tovipa ""we aux_1_cnt_prs make acc.abs.peace def.temp.inan.night"" %}",Simple Sentence
"The mother is teaching the child.","{% tovc ""nom.ani-mother aux_3_cnt_prs teaching def.acc.ani-child"" %}","{% tovipa ""nom.ani.mother aux_3_cnt_prs teaching def.acc.ani.child"" %}",Simple Sentence
"A child is writing this morning.","{% tovc ""indef.ani-child aux_3_cnt_prs writing def.temp.inan-morning"" %}","{% tovipa ""indef.ani.child aux_3_cnt_prs writing def.temp.inan.morning"" %}",Simple Sentence
"Friends are running to the city.","{% tovc ""indef.abs-friend aux_3_cnt_prs running all.inan-city"" %}","{% tovipa ""indef.abs.friend aux_3_cnt_prs running all.inan.city"" %}",Simple Sentence
"The child sees the moon and the mother is speaking.","{% tovc ""nom.ani-child aux_3_sim_prs sight def.acc.inan-moon, nom.ani-mother aux_3_cnt_prs speech"" %}","{% tovipa ""nom.ani.child aux_3_sim_prs sight def.acc.inan.moon, nom.ani.mother aux_3_cnt_prs speech"" %}",Compound Sentences
"The father is carrying water and the dog is running in the forest.","{% tovc ""nom.ani-father aux_3_cnt_prs carrying acc.inan-water, nom.ani-dog aux_3_cnt_prs running loc.inan-forest"" %}","{% tovipa ""nom.ani.father aux_3_cnt_prs carrying acc.inan.water, nom.ani.dog aux_3_cnt_prs running loc.inan.forest"" %}",Compound Sentences
"The friend is speaking in the daytime but the child is not looking.","{% tovc ""nom.ani-friend aux_3_cnt_prs speech def.temp.inan-daytime, nom.ani-child aux_3_cnt_prs not-watching"" %}","{% tovipa ""nom.ani.friend aux_3_cnt_prs speech def.temp.inan.daytime, nom.ani.child aux_3_cnt_prs not-watching"" %}",Compound Sentences
"The mother is writing this morning and the father is teaching the child.","{% tovc ""nom.ani-mother aux_3_cnt_prs writing def.temp.inan-morning, nom.ani-father aux_3_cnt_prs teaching def.acc.ani-child"" %}","{% tovipa ""nom.ani.mother aux_3_cnt_prs writing def.temp.inan.morning, nom.ani.father aux_3_cnt_prs teaching def.acc.ani.child"" %}",Compound Sentences
"The canoe is going on the lake and the fog is covering the forest.","{% tovc ""nom.inan-canoe aux_3_cnt_prs going loc.inan-lake, nom.inan-fog aux_3_cnt_prs covering def.acc.inan-forest"" %}","{% tovipa ""nom.inan.canoe aux_3_cnt_prs going loc.inan.lake, nom.inan.fog aux_3_cnt_prs covering def.acc.inan.forest"" %}",Compound Sentences
"The enemy is running to the desert and the council is watching the river.","{% tovc ""nom.ani-enemy aux_3_cnt_prs running all.inan-desert, nom.inan-council aux_3_cnt_prs watching def.acc.inan-river"" %}","{% tovipa ""nom.ani.enemy aux_3_cnt_prs running all.inan.desert, nom.inan.council aux_3_cnt_prs watching def.acc.inan.river"" %}",Compound Sentences
"We are speaking the truth and we are making peace.","{% tovc ""we aux_1_cnt_prs speech def.acc.abs-truth, we aux_1_cnt_prs make acc.abs-peace"" %}","{% tovipa ""we aux_1_cnt_prs speech def.acc.abs.truth, we aux_1_cnt_prs make acc.abs.peace"" %}",Compound Sentences
"The person sees in the city and the friend is walking in the city.","{% tovc ""nom.ani-person aux_3_sim_prs sight def.loc.inan-city, nom.ani-friend aux_3_cnt_prs walking def.loc.inan-city"" %}","{% tovipa ""nom.ani.person aux_3_sim_prs sight def.loc.inan.city, nom.ani.friend aux_3_cnt_prs walking def.loc.inan.city"" %}",Compound Sentences
"The thunder is returning and the boat is going on the river.","{% tovc ""nom.inan-thunder aux_3_cnt_prs returning, nom.inan-boat aux_3_cnt_prs going def.loc.inan-river"" %}","{% tovipa ""nom.inan.thunder aux_3_cnt_prs returning, nom.inan.boat aux_3_cnt_prs going def.loc.inan.river"" %}",Compound Sentences
"A friend is speaking in the daytime while children watch the river.","{% tovc ""indef.ani-friend aux_3_cnt_prs speech def.temp.inan-daytime, indef.nom.ani-child aux_3_hab_prs watching def.acc.inan-river"" %}","{% tovipa ""indef.ani.friend aux_3_cnt_prs speech def.temp.inan.daytime, indef.nom.ani.child aux_3_hab_prs watching def.acc.inan.river"" %}",Compound Sentences
"I would have made peace, if the council had spoken.","{% tovc ""i aux_1_ctr_prf_pst make acc.abs-peace, nom.inan-council aux_3_ctr_prf_pst speech"" %}","{% tovipa ""i aux_1_ctr_prf_pst make acc.abs.peace, nom.inan.council aux_3_ctr_prf_pst speech"" %}",Complex Sentences
"If the child slept at home, the mother would speak.","{% tovc ""nom.ani-child aux_3_ctr_sim_pst sleep def.loc.inan-home, nom.ani-mother aux_3_ctr_sim_pst speech"" %}","{% tovipa ""nom.ani.child aux_3_ctr_sim_pst sleep def.loc.inan.home, nom.ani.mother aux_3_ctr_sim_pst speech"" %}",Complex Sentences
"When the thunder returns, the boat goes off the river.","{% tovc ""nom.inan-thunder aux_3_hab_prs returning, nom.inan-boat aux_3_hab_prs going def.abl.inan-river"" %}","{% tovipa ""when nom.inan.thunder aux_3_hab_prs returning, nom.inan.boat aux_3_hab_prs going def.abl.inan.river"" %}",Complex Sentences
"We would have spoken the truth, if we had seen the city.","{% tovc ""we aux_1_ctr_prf_pst speech def.acc.abs-truth, we aux_1_ctr_prf_pst sight def.acc.inan-city"" %}","{% tovipa ""we aux_1_ctr_prf_pst speech def.acc.abs.truth, we aux_1_ctr_prf_pst sight def.acc.inan.city"" %}",Complex Sentences
"If the enemy were flying through the desert, the father would be teaching the child to hide.","{% tovc ""nom.ani-enemy aux_3_ctr_cnt_prs flying loc.inan-desert, nom.ani-father aux_3_ctr_cnt_prs teaching def.acc.ani-child aux_3_ctr_sim_prs hiding"" %}","{% tovipa ""nom.ani.enemy aux_3_ctr_cnt_prs flying loc.inan.desert, nom.ani.father aux_3_ctr_cnt_prs teaching def.acc.ani.child aux_3_ctr_sim_prs hiding"" %}",Complex Sentences
"While the mother is writing this morning; the child is walking to the village.","{% tovc ""nom.ani-mother aux_3_cnt_prs writing def.temp.inan-morning; nom.ani-child aux_3_cnt_prs walking def.all.inan-village"" %}","{% tovipa ""nom.ani.mother aux_3_cnt_prs writing def.temp.inan.morning; nom.ani.child aux_3_cnt_prs walking def.all.inan.village"" %}",Complex Sentences
"When the dog is sleeping in the village, the canoe is returning to the lake.","{% tovc ""nom.ani-dog aux_3_cnt_prs sleep def.loc.inan-village, nom.inan-canoe aux_3_cnt_prs returning def.all.inan-lake"" %}","{% tovipa ""when nom.ani.dog aux_3_cnt_prs sleep def.loc.inan.village, nom.inan.canoe aux_3_cnt_prs returning def.all.inan.lake"" %}",Complex Sentences
"I would have been thinking at night, if the council had spoken.","{% tovc ""i aux_1_ctr_cnt_pst thinking def.temp.inan-night, nom.inan-council aux_3_ctr_prf_pst speech"" %}","{% tovipa ""i aux_1_ctr_cnt_pst thinking def.temp.inan.night, nom.inan.council aux_3_ctr_prf_pst speech"" %}",Complex Sentences
"If the person had seen the city, the friend would have been speaking there.","{% tovc ""nom.ani-person aux_3_ctr_prf_pst sight def.acc.inan-city, nom.ani-friend aux_3_ctr_cnt_pst speech def.loc.inan-city"" %}","{% tovipa ""nom.ani.person aux_3_ctr_prf_pst sight def.acc.inan.city, nom.ani.friend aux_3_ctr_cnt_pst speech def.loc.inan.city"" %}",Complex Sentences
"If a friend were speaking in the daytime, children would watch.","{% tovc ""indef.ani-friend aux_3_ctr_cnt_pst speech def.temp.inan-daytime, indef.nom.ani-child aux_3_ctr_sim_pst watching"" %}","{% tovipa ""indef.ani.friend aux_3_ctr_cnt_pst speech def.temp.inan.daytime, indef.nom.ani.child aux_3_ctr_sim_pst watching"" %}",Complex Sentences
"If the child should sleep at home, the mother should watch him.","{% tovc ""nom.ani-child aux_3_obl_sim_prs sleep def.loc.inan-home, nom.ani-mother aux_3_obl_sim_prs watching him"" %}","{% tovipa ""nom.ani-child aux_3_obl_sim_prs sleep def.loc.inan.home, nom.ani.mother aux_3_obl_sim_prs watching him"" %}",Complex Sentences
"If we should speak the truth, we make peace.","{% tovc ""we aux_1_sbj_sim_prs speech def.acc.abs-truth, we aux_1_cnt_prs make acc.abs-peace"" %}","{% tovipa ""we aux_1_sbj_sim_prs speech def.acc.abs.truth, we aux_1_cnt_prs make acc.abs.peace"" %}",Complex Sentences
"If the enemy should run to the desert, the council watches the sands.","{% tovc ""nom.ani-enemy aux_3_sbj_sim_prs running all.inan-desert, nom.inan-council aux_3_sim_prs watching def.acc.inan-sand+pl"" %}","{% tovipa ""nom.ani.enemy aux_3_sbj_sim_prs running all.inan.desert, nom.inan.council aux_3_sim_prs watching def.acc.inan.sand+pl"" %}",Complex Sentences
"When the dog should be sleeping in the village, the canoe returns to the lake.","{% tovc ""nom.ani-dog aux_3_sbj_cnt_prs sleep def.loc.inan-village, nom.inan-canoe aux_3_sim_prs returning def.all.inan-lake"" %}","{% tovipa ""when nom.ani.dog aux_3_sbj_cnt_prs sleep def.loc.inan.village, nom.inan.canoe aux_3_sim_prs returning def.all.inan.lake"" %}",Complex Sentences
